Adularia,KAlSi3O8
Ammonium-Leucite,NH4AlSi2O6
Ammonium-Thomsonite,(NaNH4)Ca2[Al5Si5O20] · 6H2O
Ammonium-Aphthitalite,Na(KNH4)SO4
Ammonium-Mesolite,(NH4)Ca2Al6Si9O30 · 8H2O
Ammonium-Weeksite,(NH4)2(UO2)2(Si2O5)3 · 4H2O
Ammonium-Laumontite,[Ca(NH4)2]Al2Si4O12 · 4H2O
Ammonium-natrolite,(NH4)2Si3O10
Ammonium-Stilbite,(NH4)5Al5Si13O36 · 14H2O
Amakinite,(Fe2+Mg)(OH)2
Native Amalgam,(AgHg)
Amarantite,Fe3+2(SO4)2O · 7H2O
Amarillite,NaFe(SO4)2 · 6H2O
Amazonite,K(AlSi3O8)
Ammonium-Cryolite,(NH4)3AlF6
Ammonium-Boltwoodite,(NH4)2(UO2)2(SiO3)2 · 5H2O
Amblygonite,LiAl(PO4)F
Ammonium-Heulandite,[(NH4)2Ca]2Al4Si14O3 · 12H2O
Ammonium-Chabazite,[(NH4)2Ca]Al2Si4O12 · 6H2O
Ammonium-Carnallite,NH4MgCl3 · 6H2O
Ammonium-Uranospinite,NH4UO2AsO4 · 4H2O
Ameghinite,Na(H4B3O7)
Amesite,Mg2Al(AlSiO5)(OH)4
Amethyst,SiO2
Amicite,K2Na2Al4Si4O16 · 5H2O
Aminoffite,Ca2(BeAl)(Si2O7)(H2OOH)
Ammersooite,KAl2(AlSi3O10)(OH)2
Ammonioalunite,(NH4)Al3(SO4)2(OH)6
Ammonioborite,(NH4)2[B5O6(OH)4]2 · H2O
Ammoniojarosite,(NH4)Fe3+3(SO4)2(OH)6
Ammonioleucite,(NH4K)(AlSi2O6)
Amphibole Supergroup,AX2Z5((SiAlTi)8O22)(OHFClO)2
Amstallite,CaAl(SiAl)4O8(OH)4 · (H2OCl)
Analcime,Na(AlSi2O6) · H2O
Anapaite,Ca2Fe2+(PO4)2 · 4H2O
Anarakite,Cu3Zn(OH)6Cl2
Anatase,TiO2
Ancylite-(Ce),CeSr(CO3)2(OH) · H2O
Andalusite,Al2(SiO4)O
Anderbergite,(Zr Ca Si O H REE)
Andersonite,Na2Ca(UO2)(CO3)3 · 6H2O
Andesine,(NaCa)[Al(SiAl)Si2O8]
Andorite,AgPbSb3S6
Andradite,Ca3Fe3+2(SiO4)3
Andrémeyerite,BaFe2+2(Si2O7)
Anduoite,(RuOs)As2
Angelardite,Fe2+3(PO4)2 · 8H2O
Angelellite,Fe3+4(AsO4)2O3
Angelite,CaSO4
Anglesite,PbSO4
Anhydrite,CaSO4
Anhydrokainite,KMg(SO4)Cl
Anilite,Cu7S4
Ankangite,Ba(TiV3+Cr)8O16
Ankerite,Ca(Fe2+Mg)(CO3)2
Annabergite,Ni3(AsO4)2 · 8H2O
Annite,KFe2+3(AlSi3O10)(OH)2
Bismuthian Tetrahedrite,Cu12(SbBi)4S13
Anophorite,{Na}{Na2}{Mg4Fe3+}(Si8O22)(OH)2
Anorthite,Ca(Al2Si2O8)
Anorthoclase-Sanidine,(NaK)AlSi3O8
Anorthoclase,(NaK)AlSi3O8
Anosovite,Ti3O5
Antarcticite,CaCl2 · 6H2O
Anthoinite,AlWO3(OH)3
Anthonyite,Cu(OHCl)2 · 3H2O
Anthophyllite,☐{Mg2}{Mg5}(Si8O22)(OH)2
Anthracene,C13H10
Antigorite,Mg3(Si2O5)(OH)4
Antillite,(MgFe)3Si2O5(OH)4
Antimony,Sb
Antimonial Arsenic,(AsSb)
