Adularia,KAlSi3O8
Dixenite,CuMn2+14Fe2+(SiO4)2(As5+O4)(As3+O3)5(OH)6
Djerfisherite,K6(FeCuNi)25S26Cl
Djurleite,Cu31S16
Dmisteinbergite,Ca(Al2Si2O8)
Dolerophanite,Cu2(SO4)O
Dollaseite-(Ce),{CaCe}{MgAlMg}(Si2O7)(SiO4)(OH)F
Dolomite,CaMg(CO3)2
Doloresite,V4+3O4(OH)4
Domeykite,Cu3As
Donharrisite,Ni3HgS3
Donnayite-(Y),NaCaSr3Y(CO3)6 · 3H2O
Donpeacorite,(Mn2+Mg)Mg[SiO3]2
Dorallcharite,TlFe3+3(SO4)2(OH)6
Dorfmanite,Na2HPO4 · 2H2O
Dorrite,Ca4(Mg3Fe3+9)O4(Si3Al8Fe3+O36)
Douglasite,K2[Fe2+Cl4(OH2)2]
Downeyite,SeO2
Doyleite,Al(OH)3
Dozyite,Mg7Al2(Al2Si4O15)(OH)12
Dravite,Na(Mg3)Al6(Si6O18)(BO3)3(OH)3(OH)
Dresserite,BaAl2(CO3)2(OH)4 · H2O
Dreyerite,Bi(VO4)
Drugmanite,Pb2(Fe3+Al)(PO4)(PO3OH)(OH)2
Drysdallite,Mo(SeS)2
Dufrénite,Ca0.5Fe2+Fe3+5(PO4)4(OH)6 · 2H2O
Dufrénoysite,Pb2As2S5
Duftite,PbCu(AsO4)(OH)
Dugganite,Pb3Zn3(AsO4)2(TeO6)
Duhamelite,(PbBiCa)Cu(VO4)(OHO)
Dumontite,Pb2(UO2)3(PO4)2(OH)4 · 3H2O
Dumortierite,(AlFe3+)7(SiO4)3(BO3)O3
Dundasite,PbAl2(CO3)2(OH)4 · H2O
Dunhamite,PbTeO3(?)
Durangite,NaAl(AsO4)F
Duranusite,As4S
Dussertite,BaFe3+3(AsO4)(AsO3OH)(OH)6
Duttonite,V4+O(OH)2
Dwornikite,(NiFe)SO4 · H2O
Dypingite,Mg5(CO3)4(OH)2 · 5H2O
Dzhalindite,In(OH)3
Datolite,CaB(SiO4)(OH)
Danalite,Be3Fe2+4(SiO4)3S
Dyscrasite,Ag3Sb
Eakerite,Ca2SnAl2Si6O18(OH)2 · 2H2O
Earlandite,Ca3[CH2(COO)-CHOH(COO)-CH2(COO)]2 · 4H2O
Earlshannonite,Mn2+Fe3+2(PO4)2(OH)2 · 4H2O
Ecandrewsite,(ZnFe2+Mn2+)TiO3
Ekdemite,Pb6Cl4(As2O7)
Eckermannite,NaNa2(Mg4Al}Si8O22(OH)2
Eclarite,(CuFe)Pb9Bi12S28
Edenharterite,PbTlAs3S6
Edenite,{Na}{Ca2}{Mg5}(AlSi7O22)(OH)2
Edgarbaileyite,(Hg-Hg)3Si2O7
Edingtonite,Ba[Al2Si3O10] · 4H2O
Edoylerite,Hg2+3(CrO4)S2
Efremovite,(NH4)2Mg2(SO4)3
Eggletonite,(NaKCa)2(MnFe)8(SiAl)12O29(OH)7 · 11H2O
Eglestonite,(Hg2+2)3OCl3(OH)
Ehrleite,Ca4Be3Zn2(PO4)6 · 9H2O
Eifelite,KNa3Mg4Si12O30
Eitelite,Na2Mg(CO3)2
Ekanite,Ca2ThSi8O20
Ekaterinite,Ca2(B4O7)(ClOH)2 · 2H2O
Ecdemite,Pb6Cl4(As2O7)
Elbaite,Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3(OH)
Electrum,(Au Ag)
Ellenbergerite,Mg6(MgTiZr◻)2(AlMg)6Si8O28(OH)10
Ellisite,Tl3AsS3
Elpasolite,K2NaAlF6
Elpidite,Na2ZrSi6O15 · 3H2O
Elyite,Pb4Cu(SO4)O2(OH)4 · H2O
Bromian Chlorargyrite,Ag(ClBr)
Embreyite,Pb5(CrO4)2(PO4)2 · H2O
Emeleusite,Li2Na4Fe2Si12O30
Emerald,Be3Al2(Si6O18)
Emildine,Mn2+3Al2(SiO4)3
Emmonsite,Fe3+2(TeO3)3 · 2H2O
Emplectite,CuBiS2
Empressite,AgTe
Enargite,Cu3AsS4
Endellite,Al2Si2O5(OH)4 · 2H2O
Arsenatian Vanadinite,Pb5[(VAs)O4]3Cl
Englishite,K3Na2Ca10Al15(PO4)21(OH)7 · 26H2O
Enstatite,MgSiO3
Eosphorite,Mn2+Al(PO4)(OH)2 · H2O
Ephesite,LiNaAl2(Al2Si2O10)(OH)2
Epididymite,Na2Be2Si6O15 · H2O
Epidote,{Ca2}{Al2Fe3+}(Si2O7)(SiO4)O(OH)
Epistilbite,CaAl2Si6O16 · 5H2O
Epistolite,Na2(NbTi)2(Si2O7)O2 · nH2O
Epsomite,MgSO4 · 7H2O
Erdite,NaFeS2 · 2H2O
Eremeevite,Al6(BO3)5(FOH)3
Ericaite,Fe2+3(B7O13)Cl
Ericssonite,BaMn2+2Fe3+(Si2O7)O(OH)
Eriochalcite,CuCl2 · 2H2O
Erlianite,(FeMg)4(FeV)2Si6O15(OHO)8
Erlichmanite,OsS2
Ernienickelite,NiMn3O7 · 3H2O
Erniggliite,Tl2SnAs2S6
Ernstite,(Mn2+Fe3+)Al(PO4)(OHO)2 · H2O
Ershovite,Na4K3(FeMnTi)2Si8O22(OH)4 · 4H2O
Ertixiite,Na2Si4O9
Erythrite,Co3(AsO4)2 · 8H2O
Erythrosiderite,K2[Fe3+Cl5(H2O)]
Eskebornite,CuFeSe2
Eskimoite,Ag7Pb10Bi15S36
Eskolaite,Cr2O3
Esperite,PbCa2Zn3(SiO4)3
Esseneite,CaFe3+[AlSiO6]
Ettringite,Ca6Al2(SO4)3(OH)12 · 26H2O
Eucairite,AgCuSe
Euchlorine,KNaCu3(SO4)3O
Euchroite,Cu2(AsO4)(OH) · 3H2O
Euclase,BeAl(SiO4)(OH)
Eucryptite,LiAlSiO4
Eudialyte,Na15Ca6(Fe2+Mn2+)3Zr3[Si25O73](OOHH2O)3(OHCl)2
Eudidymite,Na2Be2Si6O15 · H2O
Eugenite,Ag11Hg2
Eugsterite,Na4Ca(SO4)3 · 2H2O
Eulytine,Bi4(SiO4)3
Euxenite-(Y),(YCaCeUTh)(NbTaTi)2O6
Evansite,Al3(PO4)(OH)6 · 6H2O
Eveite,Mn2+2(AsO4)(OH)
Evenkite,C21H44
Ewaldite,Ba(NaCaYCeK)(CO3)2 · 2.6H2O
Eylettersite,Th0.75Al3(PO4)2(OH)6
Ezcurrite,Na4B10O17 · 7H2O
Eztlite,Pb2+2Fe3+3(Te4+ O3)3(SO4)O2Cl
Fabianite,CaB3O5OH
Faheyite,Be2Mn2+Fe3+2(PO4)4 · 6H2O
Fahleite,CaZn5Fe3+2(AsO4)6 · 14H2O
Tennantite-Tetrahedrite Series,Cu6[Cu4(FeZn)2]As4S13
Fahlunite,(MgFe)Al2Si3O10 · 2H2O
Fairbankite,Pb(TeO3)
Fairburn Agate,SiO2
Fairchildite,K2Ca(CO3)2
Fairfieldite,Ca2Mn2+(PO4)2 · 2H2O
Falcondoite,(NiMg)4Si6O15(OH)2 · 6H2O
Falkmanite,Pb3Sb2S6
False Amethyst,CaF2
Famatinite,Cu3SbS4
Fangite,Tl3AsS4
Fargite,Na2Al2Si3O10 · 2H2O
Farrallonite,2MgO · W2O5 · SiO2 · nH2O?
Farringtonite,Mg3(PO4)2
Fayalite,Fe2+2SiO4
Axinite-(Fe),Ca2Fe2+Al2BSi4O15OH
Ferro-Ferri-tschermakite,☐{Ca2}{Fe2+3Fe3+2}(Al2Si6O22)(OH)2
Ferro-ferri-barroisite,☐(CaNa)(Fe2+3Fe3+2)(AlSi7O22)(OH)2
Ferro-aluminotschermakite,☐{Ca2}{Fe2+3Al2}(Al2Si6O22)(OH)2
Fergusonite-(Y)-β,YNbO4
Ferro-anthophyllite,☐{Fe2+2}{Fe2+5}(Si8O22)(OH)2
Ferro-eckermannite,NaNa2(Fe2+4Al)Si8O22(OH)2
Fergusonite-(Nd)-β,(NdCe)NbO4
Fedorite,(NaK)2-3(Ca4Na3)Si16O38(OHF)2 · 3.5H2O
Fedorovskite,Ca2Mg2B4O7(OH)6
Fedotovite,K2Cu3(SO4)3O
Alumino-ferrowinchite,☐{CaNa}{Fe2+4Al}(Si8O22)(OH)2
Ferro-ferri-winchite,☐[CaNa][Fe2+4(Fe3+Al)]Si8O22(OH)2
Ferro-edenite,{Na}{Ca2}{Fe2+5}(AlSi7O22)(OH)2
Feitknechtite,Mn3+O(OH)
Felsőbányaite,Al4(SO4)(OH)10 · 4H2O
Fenaksite,(KNa)4(FeMn)2(Si4O10)2(OHF)
Ferberite,FeWO4
Ferchromide,Cr3Fe1-x
Fergusonite-(Ce),(CeLaNd)NbO4
Fergusonite-(Nd),(NdCe)(NbTi)O4
Fergusonite-(Y),YNbO4
Fergusonite-(Ce)-β,(CeLaNd)NbO4
Johnbaumite-M,Ca5(AsO4)3OH
Fernandinite,(CaK)(V5+V4+Fe2+)8O20 · 10H2O
Feroxyhyte,Fe3+O(OH)
Ferrarisite,Ca5(AsO4)2(HAsO4)2 · 9H2O
Ferri-annite,KFe2+3((Fe3+Al)Si3O10)(OH)2
Ferri-barroisite,☐(CaNa)(Mg3Fe3+2)(AlSi7O22)(OH)2
Ferro-ferri-taramite,Na(CaNa)(Fe2+3Fe3+2)(Al2Si6O22)(OH)2
Ferricopiapite,Fe5(SO4)6O(OH) · 20H2O
Ferridravite,NaFe3+3(Mg2Fe3+4)(Si6O18)(BO3)3(OH)3O
Ferrihydrite,Fe3+10O14(OH)2
Ferro-ferri-katophorite,Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2
Ferrilotharmeyerite,Ca(Fe3+Zn)2(AsO4)2 · 2(OHH2O)
Ferrimolybdite,Fe2(MoO4)3 · nH2O
Ferrinatrite,Na3Fe(SO4)3 · 3H2O
Ferripyrophyllite,Fe3+Si2O5(OH)
Ferrisicklerite,Li1-x(Fe3+xFe2+1-x)PO4
Ferristrunzite,Fe3+Fe3+2(PO4)2(OH)3 · 5H2O
Ferrisurite,(PbCa)2.4Fe3+2(Si4O10)(CO3)1.7(OH)3 · nH2O
Ferrisymplesite,Fe3+3(AsO4)2(OH)3 · 5H2O
Ferri-tschermakite,☐{Ca2}{Mg3Fe3+2}(Al2Si6O22)(OH)2
Ferro-actinolite,☐{Ca2}{Fe2+5}(Si8O22)(OH)2
Ferro-akermanite,Ca2FeSi2O7
Ferroalluaudite,(NaCa)Fe2+(Fe3+Mn2+Fe2+)2(PO4)3
Alumino-ferrobarroisite,☐{CaNa}{Fe2+3Al2}(AlSi7O22)(OH)2
Ferroan Platinum,(PtFe)
Ferro-barroisite,☐{CaNa}{Fe2+3Al2}(AlSi7O22)(OH)2
Ferrobustamite,CaFe2+(Si2O6)
Ferrocarpholite,(Fe2+Mg)Al2(Si2O6)(OH)4
Clino-holmquistite Root Name,☐{Li2}{Z2+3Z3+2}(Si8O22)(OHFCl)2
Columbite-(Fe),Fe2+Nb2O6
Ferro-gedrite,☐{Fe2+2}{Fe2+3Al2}(Al2Si6O22)(OH)2
Ferro-glaucophane,◻[Na2][Fe2+3Al2]Si8O22(OH)2
Ferrohexahydrite,FeSO4 · 6H2O
Ferro-hornblende,☐{Ca2}{Fe2+4Al}(AlSi7O22)(OH)2
Ferrohortonolite,(FeMg)2SiO4
Ferro-kaersutite,{Na}{Ca2}{Fe2+3AlTi}(Al2Si6O22)O2
Ferrokësterite,Cu2(FeZn)SnS4
Ferronickelplatinum,Pt2FeNi
Ferro-pargasite,{Na}{Ca2}{Fe2+4Al}(Al2Si6O22)(OH)2
Pyrosmalite-(Fe),Fe2+8Si6O15(OHCl)10
Ferro-richterite,{Na}{CaNa}{Fe2+5}(Si8O22)(OH)2
Ferroselite,FeSe2
Ferrosilite,FeSiO3
Ferrostrunzite,Fe2+Fe3+2(PO4)2(OH)2 · 6H2O
Tantalite-(Fe),Fe2+Ta2O6
Tapiolite-(Fe),(FeMn)(TaNb)2O6
Ferro-tschermakite,☐{Ca2}{Fe2+3Al2}(Al2Si6O22)(OH)2
Ferrotychite,Na6(FeMnMg)2(CO3)4(SO4)
Ferro-winchite,☐{CaNa}{Fe2+4Al}(Si8O22)(OH)2
Ferrowodginite,Fe2+Sn4+Ta2O8
Ferrowyllieite,(NaCaMn)(FeMn)(FeFeMg)Al(PO4)3
Ferruccite,Na[BF4]
Fersmanite,Ca4(NaCa)4(TiNb)4(Si2O7)2O8F3
Fersmite,(CaCeNa)(NbTaTi)2(OOHF)6
Feruvite,Ca(Fe2+)3MgAl5(Si6O18)(BO3)3(OH)3(OH)
Fervanite,Fe3+4V5+4O16 · 5H2O
Fetiasite,(Fe3+Fe2+Ti)3(As2O5)O2
Fettelite,[Ag6As2S7][Ag10HgAs2S8]
Fibroferrite,Fe3+(SO4)(OH) · 5H2O
Fichtelite,C19H34
Fiedlerite-1A,Pb3Cl4F(OH) · H2O
Fiedlerite,Pb3FCl4(OH) · H2O
Filipstadite,(Sb0.5Fe0.5)Mn2O4
Fillowite,{Mn2+}{Na8}{Ca4Na4}{(Mn2+Fe2+)43}(PO4)36
Fingerite,Cu11(VO4)6O2
Finnemanite,Pb5(AsO3)3Cl
Fischesserite,Ag3AuSe2
Fitchtelite,C19H34
Fizélyite,Ag5Pb14Sb21S48
Flagstaffite,C10H22O3
Fleischerite,Pb3Ge(SO4)2(OH)6 · 3H2O
Fletcherite,Cu(NiCo)2S4
Flinkite,Mn2+2Mn3+(AsO4)(OH)4
Fülöppite,Pb3Sb8S15
Florencite-(Ce),CeAl3(PO4)2(OH)6
Florencite-(La),LaAl3(PO4)2(OH)6
Florencite-(Nd),NdAl3(PO4)2(OH)6
Florensovite,(CuZn)Cr1.5Sb0.5S4
Fluckite,CaMn2+(HAsO4)2 · 2H2O
Fluellite,Al2(PO4)F2(OH) · 7H2O
Fluoborite,Mg3(BO3)(FOH)3
Fluocerite-(Ce),(CeLa)F3
Fluocerite-(La),(LaCe)F3
Kornite,[(NaK)][Na2][Mg2Mn3+2Li]Si8O22(OH)2
Fluorapatite,Ca5(PO4)3F
Fluorapophyllite-(K),KCa4(Si8O20)(FOH) · 8H2O
Fluorbritholite-(Ce),(CeCa)5(SiO4)3F
Fluorellestadite,Ca5(SiO4)1.5(SO4)1.5F
Fluorite,CaF2
Foggite,CaAl(PO4)(OH)2 · H2O
Foitite,(□Na)(Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3OH
Fontanite,Ca(UO2)3(CO3)4 · 3H2O
Foordite,Sn2+(NbTa)2O6
Formanite-(Y),YTaO4
Fornacite,Pb2Cu(CrO4)(AsO4)(OH)
Forsterite,Mg2SiO4
Foshagite,Ca4(Si3O9)(OH)2
Foshallasite,Ca3[Si2O7] · 3H2O(?)
Fourmarierite,Pb(UO2)4O3(OH)4 · 4H2O
Fraipontite,(ZnAl)3((SiAl)2O5)(OH)4
Francevillite,Ba(UO2)2(VO4)2 · 5H2O
Franciscanite,Mn2+6(V5+☐)2(SiO4)2(OOH)6
Francisite,Cu3Bi(SeO3)2O2Cl
Franckeite,Fe2+(PbSn2+)6Sn4+2Sb2S14
Francoanellite,K3Al5(PO4)2(HPO4)3 · 12H2O
Françoisite-(Nd),(NdCeSm)(UO2)3(PO4)2O(OH) · 6H2O
Franconite,Na(Nb2O5)(OH) · 3H2O
Frankdicksonite,BaF2
Franklinfurnaceite,Ca2Fe3+Mn2+3Mn3+(Zn2Si2O10)(OH)8
Franklinite,Zn2+Fe3+2O4
Franklinphilite,(KNa)4(Mn2+MgZn)48(SiAl)72(OOH)216 · 6H2O
Fransoletite,Ca3Be2(PO4)2(HPO4)2 · 4H2O
Franzinite,(NaK)6Ca2(Al6Si6O24)(SO4)2 · 0.5H2O
Freboldite,CoSe
Fredrikssonite,Mg2(Mn3+Fe3+)(BO3)O2
Freedite,Cu+Pb8(AsO3)2O3Cl5
Freibergite,Ag6[Cu4Fe2]Sb4S13-x
Freieslebenite,AgPbSbS3
Fresnoite,Ba2Ti(Si2O7)O
Freudenbergite,Na2(TiFe)8O16
Friedelite,Mn2+8Si6O15(OHCl)10
Friedrichite,Pb5Cu5Bi7S18
Fritzscheite,Mn(UO2)2(PO4VO4)2 · 10H2O (?)
Frohbergite,FeTe2
Frolovite,Ca[B(OH)4]2
Frondelite,Mn2+Fe3+4(PO4)3(OH)5
Froodite,α-PdBi2
Fuchsite,K(AlCr)3Si3O10(OH)2
Fuenzalidaite,K6(NaK)4Na6Mg10(SO4)12(IO3)12 · 12H2O
Fukalite,Ca4[Si2O6][CO3](OH)2
Fukuchilite,Cu3FeS8
Furongite,Al13(UO2)7(PO4)13(OH)14 · 58H2O
Furutobeite,(CuAg)6PbS4
Faustite,(ZnCu)Al6(PO4)4(OH)8 · 4H2O
Gabrielsonite,PbFe3+(As3+O3)O
Gadolinite-(Ce),(CeLaNdY)2Fe2+Be2Si2O10
Gadolinite-(Y),Y2Fe2+Be2Si2O10
Gagarinite-(Y),NaCaYF6
Gageite,Mn21(Si4O12)2O3(OH)20
Gahnite,ZnAl2O4
Gahnospinel,(MgZn)Al2O4
Gaidonnayite,Na2Zr(Si3O9) · 2H2O
Gainesite,Na(NaK)(BeLi)Zr2(PO4)4 · 1.5-2H2O
Gaitite,Ca2Zn(AsO4)2 · 2H2O
Galactite,Na2Al2Si3O10 · 2H2O
Galaxite,Mn2+Al2O4
Galeite,Na15(SO4)5F4Cl
Galena,PbS
Galenobismutite,PbBi2S4
Galkhaite,(CsTl)(HgCuZn)6(AsSb)4S12
Gallite,CuGaS2
Gamagarite,Ba2Fe3+(VO4)2(OH)
Gananite,BiF3
Ganomalite,Pb9Ca5Mn(Si2O7)4(SiO4)O
Ganophyllite,(KNaCa)2Mn8(SiAl)12(OOH)32 · 8H2O
Garavellite,FeSbBiS4
Garnet Supergroup,X3Z2(TO4)3
Garrelsite,Ba3NaSi2B7O16(OH)4
Garronite-Ca,Na2Ca5Al12Si20O64 · 27H2O
Gartrellite,Pb(CuFe3+Zn)2(AsO4SO4)2 · 2(H2OOH)
Garyansellite,(MgFe)3(PO4)2(OHO) · 1.5H2O
Gasparite-(Ce),Ce(AsO4)
Gaspéite,Ni(CO3)
Gatehousite,Mn2+5(PO4)2(OH)4
Gatumbaite,CaAl2(PO4)2(OH)2 · H2O
Gaudefroyite,Ca4Mn3+2-3(BO3)3(CO3)(OOH)3
Gaultite,Na4Zn2Si7O18 · 5H2O
Gaylussite,Na2Ca(CO3)2 · 5H2O
Gearksutite,Ca[Al(FOH)5(H2O)]
Gebhardite,Pb8(As2O5)2OCl6
Gedrite,☐{Mg2}{Mg3Al2}(Al2Si6O22)(OH)2
Geerite,Cu8S5
Geffroyite,(CuFeAg)9(SeS)8
Gehlenite,Ca2Al(AlSiO7)
Geigerite,Mn2+5(AsO4)2(HAsO4)2 · 10H2O
Geikielite,MgTiO3
Geminite,Cu(HAsO4) · H2O
Genkinite,(PtPdRh)4Sb3
Genthelvite,Be3Zn4(SiO4)3S
Geocronite,Pb14(SbAs)6S23
Georgechaoite,NaKZr[Si3O9] · 2H2O
Georgeite,Cu2(CO3)(OH)2 · 6H2O
Georgiadèsite,Pb4(AsO3)Cl4(OH)
Gerasimovskite,(MnCa)(NbTi)5O12 · 9H2O
Gerdtremmelite,(ZnFe)(AlFe)2(AsO4)(OH)5
Gerhardtite,Cu2(NO3)(OH)3
Germanite,Cu13Fe2Ge2S16
Germanocolusite,Cu26V2(GeAs)6S32
Gersdorffite,NiAsS
Gerstleyite,Na2(SbAs)8S13 · 2H2O
Gerstmannite,MnMgZn(SiO4)(OH)2
Getchellite,AsSbS3
Geversite,PtSb2
Gianellaite,[(NHg2)2](SO4)(H2O)x
Gibbsite,Al(OH)3
Giessenite,Pb27Cu2(BiSb)19S57
Gilalite,Cu5Si6O17 · 7H2O
Gilbertite,KAl2(AlSi3O10)(OH)2
Gillespite,BaFe2+Si4O10
Gillulyite,Tl2As7.5Sb0.3S13
Giniite,Fe2+Fe3+4(PO4)3(OH)5 · 2H2O
Ginorite,Ca2B14O20(OH)6 · 5H2O
Giorgiosite,Mg5(CO3)4(OH)2 · 5-6H2O
Giraudite,Cu6[Cu4(FeZn)2]As4Se13
Girdite,H2Pb3(Te4+O3)(Te6+O6)
Girvasite,NaCa2Mg3(PO4)3(CO3)(H2O)6
Gismondine-Ca,CaAl2Si2O8 · 4H2O
Gittinsite,CaZrSi2O7
Giuseppettite,(NaKCa)7-8(Al6Si6O24)(SO4Cl)1-2
Glaucophane,⃞[Na2][Mg3Al2]Si8O22(OH)2
Gladite,PbCuBi5S9
Glauberite,Na2Ca(SO4)2
Glaucocerinite,(Zn1-xAlx)(OH)2(SO4)x/2 · nH2O
Glaucochroite,CaMn2+SiO4
Glaucodot,(Co0.50Fe0.50)AsS
Glauconite,(KNa)(MgFe2+Fe3+)(Fe3+Al)(SiAl)4O10(OH)2
Glaukosphaerite,(CuNi)2(CO3)(OH)2
Glucine,CaBe4(PO4)2(OH)4 · 0.5H2O
Glushinskite,Mg(C2O4) · 2H2O
Gobbinsite,Na5(Si11Al5)O32 · 11H2O
Godlevskite,(NiFe)9S8
Godovikovite,(NH4)Al(SO4)2
Goedkenite,Sr2Al(PO4)2(OH)
Goethite,α-Fe3+O(OH)
Gold,Au
Goldfieldite,Cu10Te4S13
Goldichite,KFe(SO4)2 · 4H2O
Goldmanite,Ca3V3+2(SiO4)3
Gonnardite,(NaCa)2(SiAl)5O10 · 3H2O
Gonyerite,(Mn2+Mg)5Fe3+(Fe3+Si3O10)(OH)8
Goosecreekite,Ca[Al2Si6O16] · 5H2O
Gorceixite,BaAl3(PO4)(PO3OH)(OH)6
Gordonite,MgAl2(PO4)2(OH)2 · 8H2O
Gormanite,(Fe2+Mg)3(AlFe3+)4(PO4)4(OH)6 · 2H2O
Gortdrumite,Cu24Fe2Hg9S23
Goslarite,ZnSO4 · 7H2O
Goudeyite,AlCu6(AsO4)3(OH)6 · 3H2O
Gowerite,Ca[B5O8(OH)][B(OH)3] · 3H2O
Graemite,Cu[TeO3] · H2O
Graftonite,Fe2+Fe2+2(PO4)2
Grandidierite,(MgFe2+)(AlFe3+)3(SiO4)(BO3)O2
Grandreefite,Pb2(SO4)F2
Grantsite,(NaCa)2+x(V5+V4+)6O16 · 4H2O
Graphite,C
Gratonite,Pb9As4S15
Gravegliaite,Mn2+SO3 · 3H2O
Grayite,(ThPbCa)(PO4) · H2O
Grechishchevite,Hg2+3S2(BrClI)2
Greenalite,(Fe2+Fe3+)2-3Si2O5(OH)4
Greenockite,CdS
Greigite,Fe2+Fe3+2S4
Görgeyite,K2Ca5(SO4)6 · H2O
Griceite,LiF
Grimaldiite,CrO(OH)
Grimselite,K3Na(UO2)(CO3)3 · H2O
Griphite,Na4Li2Ca6(Mn2+Fe2+Mg)19Al8(PO4)24(FOH)8
Grischunite,NaCa2Mn2+5Fe3+(AsO4)6 · 2H2O
Grossite,CaAl4O7
Grossular,Ca3Al2(SiO4)3
Groutite,Mn3+O(OH)
Grumantite,Na(HSi2O5) · H2O
Grunerite,☐{Fe2+2}{Fe2+5}(Si8O22)(OH)2
Gruzdevite,Cu6Hg3Sb4S12
Götzenite,NaCa6Ti(Si2O7)2OF3
Guanajuatite,Bi2Se3
Guanglinite,Pd11Sb2As2
Guanine,C5H5N5O
Guarinite,(Na Ca Zr Si F O)
Guarinoite,Zn6(SO4)(OH)10 · 5H2O
Gudmundite,FeSbS
Guérinite,Ca5(AsO4)2(HAsO4)2 · 9H2O
Guettardite,PbAsSbS4
Gugiaite,Ca2Be(Si2O7)
Guildite,CuFe3+(SO4)2(OH) · 4H2O
Guilleminite,Ba(UO2)3(SeO3)2(OH)4 · 3H2O
Guimaraesite (of Gagarin & Cuomo),(YCaCeUTh)(NbTaTi)2O6
Guitermanite,Pb10As6S19 (?)
Gumucionite,ZnS
Gunnarite,~Fe3Ni2S8
Gunnbjarnite,(MgCaFe)3(FeAl)2Si6O18 · 3H2O
Gunningite,ZnSO4 · H2O
Gupeiite,Fe3Si
Gustavite,AgPbBi3S6
Guyanaite,CrO(OH)
Gypsum,CaSO4 · 2H2O
Gyrolite,NaCa16Si23AlO60(OH)8 · 14H2O
Gysinite-(Nd),PbNd(CO3)2(OH) · H2O
Goyazite,SrAl3(PO4)(PO3OH)(OH)6
Haapalaite,(Fe2+Ni)2(MgFe2+)1.61S2(OH)3.22
Hackmanite,Na8Al6Si6O24(Cl2S)
Haema-ovoid-agates,SiO2
Hafnon,HfSiO4
Hagendorfite,NaCaMn2+Fe2+2(PO4)3
Häggite,V3+V4+O2(OH)3
Haidingerite,CaHAsO4 · H2O
Hainite-(Y),Na2Ca4(YREE)Ti(Si2O7)2OF3
Haiweeite,Ca(UO2)2[Si5O12(OH)2] · 6H2O
Hakite,Cu6[Cu4Hg2]Sb4Se13
Halite,NaCl
Hallimondite,Pb2(UO2)(AsO4)2 · nH2O 0 ≤ n ≤ 0.5
Halloysite,Al2(Si2O5)(OH)4
Halotrichite,FeAl2(SO4)4 · 22H2O
Halurgite,Mg2[B4O7]2 · 5H2O
Hambergite,Be2(BO3)(OH)
Hammarite,Pb2Cu2Bi4S9
Hanawaltite,(Hg2+2)3Hg2+(ClOH)2O3
Hancockite,{CaPb}{Al2Fe3+}(Si2O7)(SiO4)O(OH)
Hanksite,Na22K(SO4)9(CO3)2Cl
Hannayite,(NH4)2Mg3H4(PO4)4 · 8H2O
Haradaite,SrVSi2O7
Hardystonite,Ca2Zn(Si2O7)
Harkerite,Ca12Mg4Al(BO3)3(SiO4)4(CO3)5 · H2O
Harmotome,(Ba0.5Ca0.5KNa)5[Al5Si11O32] · 12H2O
Harrisonite,Ca(Fe2+Mg)6(PO4)2(SiO4)2
Harstigite,Ca6(MnMg)Be4Si6(OOH)24
Hashemite,Ba(CrO4)
Hastingsite,{Na}{Ca2}{Fe2+4Fe3+}(Al2Si6O22)(OH)2
Hastite,FeSe2
Hatchite,AgTlPbAs2S5
Hatrurite,Ca3(SiO4)O
Hauchecornite,Ni9BiSbS8
Hauckite,Fe3+3(MgMn2+)24Zn18(SO4)4(CO3)2(OH)81
Hauerite,MnS2
Hausmannite,Mn2+Mn3+2O4
Haüyne,(NaK)3(CaNa)(Al3Si3O12)(SO4SCl)
Hawleyite,CdS
Hawthorneite,BaMgTi3Cr4Fe2+2Fe3+2O19
Haxonite,(FeNi)23C6
Haycockite,Cu4Fe5S8
Haynesite,(UO2)3(OH)2(SeO3)2 · 5H2O
Heazlewoodite,Ni3S2
Hectorfloresite,Na9(SO4)4(IO3)
Hectorite,Na0.3(MgLi)3(Si4O10)(FOH)2
Hedenbergite,CaFe2+Si2O6
Hedleyite,Bi7Te3
Hedyphane,Ca2Pb3(AsO4)3Cl
Heideite,(FeCr)1.15(TiFe)2S4
Heidornite,Na2Ca3B5O8(SO4)2Cl(OH)2
Heijtmanite,Ba2(Mn2+Fe2+)4Ti2(Si2O7)2O2(OH)2F2
Heinrichite,Ba(UO2)2(AsO4)2 · 10H2O
Hejtmanite,Ba2(Mn2+Fe2+)4Ti2(Si2O7)2O2(OH)2F2
Heliophyllite,Pb6Cl4(As2O7)
Heliotrope,SiO2
Hellandite-(Y),(CaREE)4Y2Al◻2(B4Si4O22) (OH)2
Hellyerite,NiCO3 · 5.5H2O
Helmutwinklerite,Pb(ZnCu)2(AsO4)2 · 2H2O
Helvine,Be3Mn2+4(SiO4)3S
Hematite,Fe2O3
Hematolite,(MnMgAlFe3+)15(As5+O4)2(As3+O3)(OH)23
Hematophanite,Pb4Fe3O8(OHCl)
Hemihedrite,Pb10Zn(CrO4)6(SiO4)2(OH)2
Hemimorphite,Zn4Si2O7(OH)2 · H2O
Hemloite,(TiV3+Fe3+Al)12(As3+Sb3+)2O23(OH)
Hemusite,Cu6SnMoS8
Hendersonite,(CaSr)1.3V6O16 · 6H2O
